number,german,english,article,german_sentence,english_sentence
1,das,the,,Das ist das Buch.,That is the book.
2,und,and,,Ich und du.,Me and you.
3,sein,to be,,Ich bin müde.,I am tired.
4,in,in,,In der Schule.,In the school.
5,ein,a/an,,Ein Apfel.,An apple.
6,zu,to,,Zum Bahnhof.,To the train station.
7,haben,to have,,Ich habe Hunger.,I am hungry.
8,ich,I,,Ich komme.,I am coming.
9,werden,to become,,Es wird kalt.,It is getting cold.
10,der,the,m,Der Mann.,The man.
11,sie,they/she/it,,Sie sind hier.,They are here.
12,von,of/from,,Von Berlin.,From Berlin.
13,nicht,not,,Nicht jetzt.,Not now.
14,die,the,f,Die Frau.,The woman.
15,mit,with,,Mit dir.,With you.
16,es,it,,Es regnet.,It is raining.
17,auf,on,,Auf dem Tisch.,On the table.
18,sich,himself/herself/itself,,Er wäscht sich.,He washes himself.
19,dass,that,,Ich weiß,dass...
20,er,he,,Er läuft.,He runs.
21,als,as/than,,Als Kind.,As a child.
22,an,to/at,,An der Wand.,On the wall.
23,für,for,,Für dich.,For you.
24,ist,is,,Es ist gut.,It is good.
25,zu,to,,Zu Hause.,At home.
26,aus,out of,,Aus Deutschland.,From Germany.
27,um,around/at,,Um 8 Uhr.,At 8 o'clock.
28,nach,after/to,,Nach Hause.,Home.
29,bei,at/by,,Bei mir.,At my place.
30,sein,his/its/to be,,Sein Auto.,His car.
31,oder,or,,Tea oder Kaffee?,Tea or coffee?
32,wie,how/as,,Wie geht's?,How are you?
33,aber,but,,Aber nein!,But no!
34,mehr,more,,Mehr Wasser.,More water.
35,einen,a/an,m,Einen Moment.,One moment.
36,man,one/people,,Man sagt...,People say...
37,so,so/thus,,So ist es.,That's how it is.
38,was,what,,Was ist das?,What is that?
39,nur,only,,Nur du.,Only you.
40,wie,like/as,,Wie ein Kind.,Like a child.
41,über,about/over,,Über das Buch.,About the book.
42,auch,also/too,,Ich auch.,Me too.
43,du,you,,Du bist hier.,You are here.
44,im,in the,,Im Sommer.,In the summer.
45,noch,still/yet,,Noch nicht.,Not yet.
46,wenn,if/when,,Wenn es regnet.,If it rains.
47,sagen,to say,,Er sagt nein.,He says no.
48,machen,to do/make,,Was machst du?,What are you doing?
49,können,can/be able,,Ich kann kommen.,I can come.
50,kommen,to come,,Komm her!,Come here!
51,vor,before/in front of,,Vor dem Haus.,In front of the house.
52,gehen,to go,,Ich gehe jetzt.,I'm going now.
53,wollen,to want,,Ich will das.,I want that.
54,gut,good,,Sehr gut!,Very good!
55,geben,to give,,Gib mir das.,Give me that.
56,da,there,,Da drüben.,Over there.
57,schon,already,,Schon fertig?,Already done?
58,wieder,again,,Noch einmal wieder.,Once again.
59,sehen,to see,,Ich sehe dich.,I see you.
60,lassen,to let/leave,,Lass mich!,Let me!
61,dann,then,,Dann gehe ich.,Then I'll go.
62,sehr,very,,Sehr schön.,Very nice.
63,hier,here,,Hier bitte.,Here you go.
64,jetzt,now,,Jetzt sofort!,Now immediately!
65,immer,always,,Immer wieder.,Again and again.
66,den,the,m,Den ganzen Tag.,The whole day.
67,kein,no/none,,Kein Problem.,No problem.
68,etwas,something,,Etwas Wasser.,Some water.
69,haben,to have,,Wir haben Zeit.,We have time.
70,ihm,him,,Gib ihm das.,Give it to him.
71,ja,yes,,Ja,klar.
72,müssen,to have to,,Ich muss gehen.,I have to go.
73,ihre,her/their,,Ihre Tasche.,Her bag.
74,mal,times/once,,Einmal bitte.,Once please.
