german,english,article,german_sentence,english_sentence
das,the,,Das ist das Buch.,That is the book.
und,and,,Ich und du.,Me and you.
sein,to be,,Ich bin müde.,I am tired.
in,in,,In der Schule.,In the school.
ein,a/an,,Ein Apfel.,An apple.
zu,to,,Zum Bahnhof.,To the train station.
haben,to have,,Ich habe Hunger.,I am hungry.
ich,I,,Ich komme.,I am coming.
werden,to become,,Es wird kalt.,It is getting cold.
der,the,m,Der Mann.,The man.
sie,they/she/it,,Sie sind hier.,They are here.
von,of/from,,Von Berlin.,From Berlin.
nicht,not,,Nicht jetzt.,Not now.
die,the,f,Die Frau.,The woman.
mit,with,,Mit dir.,With you.
es,it,,Es regnet.,It is raining.
auf,on,,Auf dem Tisch.,On the table.
sich,himself/herself/itself,,Er wäscht sich.,He washes himself.
dass,that,,Ich weiß,dass...
er,he,,Er läuft.,He runs.
als,as/than,,Als Kind.,As a child.
an,to/at,,An der Wand.,On the wall.
für,for,,Für dich.,For you.
ist,is,,Es ist gut.,It is good.
zu,to,,Zu Hause.,At home.
aus,out of,,Aus Deutschland.,From Germany.
um,around/at,,Um 8 Uhr.,At 8 o'clock.
nach,after/to,,Nach Hause.,Home.
bei,at/by,,Bei mir.,At my place.
sein,his/its/to be,,Sein Auto.,His car.
oder,or,,Tea oder Kaffee?,Tea or coffee?
wie,how/as,,Wie geht's?,How are you?
aber,but,,Aber nein!,But no!
mehr,more,,Mehr Wasser.,More water.
einen,a/an,m,Einen Moment.,One moment.
man,one/people,,Man sagt...,People say...
so,so/thus,,So ist es.,That's how it is.
was,what,,Was ist das?,What is that?
nur,only,,Nur du.,Only you.
wie,like/as,,Wie ein Kind.,Like a child.
über,about/over,,Über das Buch.,About the book.
auch,also/too,,Ich auch.,Me too.
du,you,,Du bist hier.,You are here.
im,in the,,Im Sommer.,In the summer.
noch,still/yet,,Noch nicht.,Not yet.
wenn,if/when,,Wenn es regnet.,If it rains.
sagen,to say,,Er sagt nein.,He says no.
machen,to do/make,,Was machst du?,What are you doing?
können,can/be able,,Ich kann kommen.,I can come.
kommen,to come,,Komm her!,Come here!
vor,before/in front of,,Vor dem Haus.,In front of the house.
gehen,to go,,Ich gehe jetzt.,I'm going now.
wollen,to want,,Ich will das.,I want that.
gut,good,,Sehr gut!,Very good!
geben,to give,,Gib mir das.,Give me that.
da,there,,Da drüben.,Over there.
schon,already,,Schon fertig?,Already done?
wieder,again,,Noch einmal wieder.,Once again.
sehen,to see,,Ich sehe dich.,I see you.
lassen,to let/leave,,Lass mich!,Let me!
dann,then,,Dann gehe ich.,Then I'll go.
sehr,very,,Sehr schön.,Very nice.
hier,here,,Hier bitte.,Here you go.
jetzt,now,,Jetzt sofort!,Now immediately!
immer,always,,Immer wieder.,Again and again.
den,the,m,Den ganzen Tag.,The whole day.
kein,no/none,,Kein Problem.,No problem.
etwas,something,,Etwas Wasser.,Some water.
haben,to have,,Wir haben Zeit.,We have time.
ihm,him,,Gib ihm das.,Give it to him.
ja,yes,,Ja,klar.
müssen,to have to,,Ich muss gehen.,I have to go.
ihre,her/their,,Ihre Tasche.,Her bag.
mal,times/once,,Einmal bitte.,Once please.
uns,us,,Hilf uns!,Help us!
ihnen,them/to them,,Gib ihnen das.,Give it to them.
durch,through,,Durch den Park.,Through the park.
alles,everything/all,,Alles klar?,All good?
wo,where,,Wo bist du?,Where are you?
mir,me/to me,,Gib mir...,Give me...
wir,we,,Wir gehen.,We go.
zur,to the,,Zur Schule.,To school.
unsere,our,,Unsere Familie.,Our family.
wird,becomes/is,,Es wird dunkel.,It gets dark.
euch,you (pl.),,Ich sehe euch.,I see you all.
dein,your,,Dein Buch.,Your book.
aus,out,,Raus hier!,Out here!
zurück,back,,Komm zurück!,Come back!
deutsch,German,,Auf Deutsch.,In German.
jahr,year,,Letztes Jahr.,Last year.
leben,to live,,Ich lebe hier.,I live here.
groß,big,,Ein großes Haus.,A big house.
war,was,,Es war schön.,It was nice.
soll,should/shall,,Das soll ich machen.,I should do that.
zeit,time,,Keine Zeit.,No time.
weg,way/away,,Geh weg!,Go away!
denn,because,,Komm denn!,Come on then!
viel,much/a lot,,Viel Glück!,Good luck!
wissen,to know,,Ich weiß nicht.,I don't know.
unter,under,,Unter dem Tisch.,Under the table.
noch,still,,Noch ein Bier?,Another beer?
dieser,this,,Dieser Mann.,This man.
besser,better,,Viel besser.,Much better.
wieder,again,,Wieder da?,Back again?
neu,new,,Ein neues Auto.,A new car.
lang,long,,Wie lange?,How long?
viel,many/a lot,,Viele Leute.,Many people.
heute,today,,Heute Abend.,Tonight.
alle,all,,Alle zusammen.,All together.
frau,woman,,Die Frau dort.,The woman there.
geld,money,,Kein Geld.,No money.
tag,day,,Guten Tag!,Good day!
bleiben,to stay,,Ich bleibe hier.,I stay here.
ende,end,,Am Ende.,At the end.
warum,why,,Warum nicht?,Why not?
wurde,became/was,,Es wurde kalt.,It got cold.
beide,both,,Beide Hände.,Both hands.
dort,there,,Dort drüben.,Over there.
welt,world,,Die ganze Welt.,The whole world.
letzte,last,,Letzte Woche.,Last week.
zwischen,between,,Zwischen uns.,Between us.
wer,who,,Wer ist das?,Who is that?
stadt,city,,In der Stadt.,In the city.
kind,child,,Das Kind spielt.,The child plays.
deutsche,German (pl.),,Deutsche Sprache.,German language.
land,country,,In Deutschland.,In Germany.
arbeiten,to work,,Ich arbeite.,I work.
während,during,,Während des Films.,During the movie.
haus,house,n,Mein Haus.,My house.
machen,to make/do,,Mach das!,Do that!
hand,hand,f,Eine Hand.,One hand.
zwei,two,,Zwei Bier.,Two beers.
sagen,to say/tell,,Sag mir!,Tell me!
leben,life,,Das Leben.,Life.
mann,man,m,Der alte Mann.,The old man.
jeder,every/each,,Jeder Tag.,Every day.
name,name,m,Dein Name?,Your name?
werden,will/future,,Ich werde kommen.,I will come.
weg,way/path,,Der Weg.,The way.
frauen,women,,Viele Frauen.,Many women.
zurück,back,,Zurückkommen.,Come back.
finden,to find,,Ich finde es.,I find it.
polizei,police,f,Die Polizei kommt.,The police are coming.
frage,question,f,Eine Frage.,A question.
recht,right/law,,Du hast recht.,You are right.
nie,never,,Nie wieder.,Never again.
schön,nice/beautiful,,Sehr schön!,Very nice!
geld,money,n,Viel Geld.,A lot of money.
mensch,person/human,m,Der Mensch.,The person.
sache,thing,f,Eine Sache.,One thing.
drei,three,,Drei Tage.,Three days.
nicht,not,,Nicht wahr?,Isn't that so?
können,to be able to,,Kannst du?,Can you?
deutschland,Germany,,In Deutschland.,In Germany.
gut,well/good,,Gut gemacht!,Well done!
wort,word,n,Ein Wort.,One word.
woche,week,f,Diese Woche.,This week.
gegen,against,,Gegen dich.,Against you.
weit,further/far,,Weitergehen.,Go further.
ohne,without,,Ohne dich.,Without you.
einmal,once,,Einmal nur.,Just once.
uhr,clock/o'clock,f,Wie spät ist es?,What time is it?
stehen,to stand,,Ich stehe auf.,I stand up.
familie,family,f,Meine Familie.,My family.
liegen,to lie,,Es liegt dort.,It lies there.
bleiben,to remain,,Bleib hier!,Stay here!
später,later,,Bis später!,See you later!
morgen,tomorrow/morning,,Morgen früh.,Tomorrow morning.
dann,then,,Und dann?,And then?
nehmen,to take,,Nimm das!,Take that!
halten,to hold/stop,,Halt an!,Stop!
auto,car,n,Mein Auto.,My car.
habe,I have,,Ich habe es.,I have it.
ab,from/off,,Ab morgen.,From tomorrow.
erste,first,,Der erste Platz.,First place.
lassen,to let,,Lass uns gehen.,Let's go.
schauen,to look,,Schau mal!,Look!
wasser,water,n,Kaltes Wasser.,Cold water.
lange,long (time),,Wie lange?,How long?
genug,enough,,Genug jetzt!,Enough now!
gibt,gives/there is,,Es gibt...,There is...
tun,to do,,Was tust du?,What are you doing?
junge,boy,m,Der kleine Junge.,The little boy.
platz,place/square,m,Am Platz.,At the square.
einfach,simple,,Ganz einfach.,Very simple.
ende,end,n,Das Ende.,The end.
glauben,to believe,,Ich glaube nicht.,I don't believe.
möglich,possible,,Ist das möglich?,Is that possible?
minute,minute,f,Eine Minute.,One minute.
freund,friend,m,Mein bester Freund.,My best friend.
mädchen,girl,n,Das Mädchen.,The girl.
arbeiten,to work,,Bei der Arbeit.,At work.
müde,tired,,Ich bin müde.,I am tired.
alt,old,,Wie alt?,How old?
tag,day,m,Der ganze Tag.,The whole day.
beispiel,example,n,Zum Beispiel.,For example.
wichtig,important,,Sehr wichtig.,Very important.
sprechen,to speak,,Sprich Deutsch!,Speak German!
weg,away,,Weggehen.,Go away.
bringen,to bring,,Bring mir...,Bring me...
nacht,night,f,Gute Nacht!,Good night!
kopf,head,m,Mein Kopf.,My head.
liebe,love,f,In Liebe.,With love.
denken,to think,,Ich denke...,I think...
heißt,is called,,Wie heißt du?,What's your name?
kommen,to come,,Komm schnell!,Come quickly!
fast,almost,,Fast fertig.,Almost done.
machen,to make,,Mach schnell!,Hurry up!
hören,to hear,,Hör zu!,Listen!
lassen,to leave,,Lass es!,Leave it!
schlafen,to sleep,,Ich will schlafen.,I want to sleep.
essen,to eat,,Ich esse jetzt.,I'm eating now.
trinken,to drink,,Was trinkst du?,What are you drinking?
finden,to find,,Wo finde ich...?,Where do I find...?
schreiben,to write,,Schreib mir!,Write to me!
lesen,to read,,Ich lese.,I am reading.
lernen,to learn,,Deutsch lernen.,Learn German.
verstehen,to understand,,Verstehst du?,Do you understand?
fragen,to ask,,Darf ich fragen?,May I ask?
antworten,to answer,,Antworte mir!,Answer me!
helfen,to help,,Kannst du helfen?,Can you help?
öffnen,to open,,Mach auf!,Open up!
schließen,to close,,Mach zu!,Close!
zahlen,to pay,,Ich zahle.,I'll pay.
kaufen,to buy,,Was kaufst du?,What are you buying?
verkaufen,to sell,,Zu verkaufen.,For sale.
kosten,to cost,,Wie viel kostet das?,How much does it cost?
teuer,expensive,,Zu teuer!,Too expensive!
billig,cheap,,Sehr billig.,Very cheap.
groß,big/large,,Zu groß.,Too big.
klein,small,,Zu klein.,Too small.
schön,beautiful,,Wie schön!,How beautiful!
hässlich,ugly,,Nicht hässlich.,Not ugly.
warm,warm,,Es ist warm.,It is warm.
kalt,cold,,Mir ist kalt.,I am cold.
heiß,hot,,Sehr heiß.,Very hot.
gut,good,,Gut gemacht!,Well done!
schlecht,bad,,Schlecht für dich.,Bad for you.
richtig,right/correct,,Das ist richtig.,That's correct.
falsch,wrong,,Total falsch.,Totally wrong.
leicht,easy,,Ganz leicht.,Very easy.
schwer,difficult,,Zu schwer.,Too difficult.
schnell,fast,,Sehr schnell.,Very fast.
langsam,slow,,Geh langsam!,Go slowly!
früh,early,,Zu früh.,Too early.
spät,late,,Zu spät!,Too late!
heute,today,,Heute nicht.,Not today.
morgen,tomorrow,,Bis morgen!,See you tomorrow!
gestern,yesterday,,Gestern Abend.,Yesterday evening.
bald,soon,,Bis bald!,See you soon!
jetzt,now,,Jetzt oder nie!,Now or never!
sofort,immediately,,Sofort kommen!,Come immediately!
bitte,please,,Bitte schön.,You're welcome.
danke,thank you,,Vielen Dank!,Thank you very much!
entschuldigung,sorry/excuse me,,Entschuldigung!,Sorry!
hallo,hello,,Hallo zusammen!,Hello everyone!
tschüss,bye,,Tschüss dann!,Bye then!
ja,yes,,Ja genau.,Yes exactly.
nein,no,,Nein danke.,No thank you.
vielleicht,maybe,,Vielleicht später.,Maybe later.
natürlich,of course,,Natürlich!,Of course!
klar,clear/sure,,Klar doch!,Sure!
genau,exactly,,Genau das.,Exactly that.
stimmt,right (agreed),,Stimmt!,Right!
okay,okay,,Okay,gut.
super,great,,Super Idee!,Great idea!
toll,great,,Total toll!,Totally great!
schade,pity,,Wie schade!,What a pity!
leider,unfortunately,,Leider nicht.,Unfortunately not.
gern,gladly,,Sehr gern!,With pleasure!
gerne,gladly,,Ich komme gerne.,I'll gladly come.
willkommen,welcome,,Herzlich willkommen!,Warm welcome!
prost,cheers,,Prost!,Cheers!
gesundheit,bless you,,Gesundheit!,Bless you!
viel,much,,Vielen Dank!,Many thanks!
wenig,little,,Zu wenig.,Too little.
alle,all,,Alle zusammen!,All together!
jeder,everyone,,Jeder weiß das.,Everyone knows that.
niemand,nobody,,Niemand da.,Nobody there.
etwas,something,,Etwas Neues.,Something new.
nichts,nothing,,Nichts los.,Nothing going on.
alles,everything,,Alles gut?,Everything okay?
irgendwo,somewhere,,Irgendwo hier.,Somewhere here.
nirgendwo,nowhere,,Nirgendwo finden.,Can't find anywhere.
überall,everywhere,,Überall Leute.,People everywhere.
hier,here,,Hier bleiben.,Stay here.
dort,there,,Dort drüben.,Over there.
links,left,,Nach links.,To the left.
rechts,right,,Nach rechts.,To the right.
gerade,straight,,Geradeaus.,Straight ahead.
oben,above,,Oben drauf.,On top.
unten,below,,Unten drunter.,Underneath.
vor,front/in front,,Vor dem Haus.,In front of the house.
hinter,behind,,Hinter dir.,Behind you.
neben,next to,,Neben mir.,Next to me.
in,in/into,,In die Tasche.,Into the pocket.
aus,out of,,Aus dem Weg!,Out of the way!
an,on/to,,An die Wand.,On the wall.
auf,on/onto,,Auf den Tisch.,On the table.
unter,under,,Unter dem Bett.,Under the bed.
über,over,,Über die Brücke.,Over the bridge.
zwischen,between,,Zwischen zwei Stühlen.,Between two chairs.
bei,at/by,,Bei Freunden.,At friends' place.
gegen,against,,Gegen die Wand.,Against the wall.
ohne,without,,Ohne Zucker.,Without sugar.
mit,with,,Mit Milch.,With milk.
für,for,,Für dich.,For you.
von,from/of,,Von mir.,From me.
zu,to,,Zu dir.,To you.
nach,to/after,,Nach Hause.,Home.
vor,before,,Vor zwei Jahren.,Two years ago.
seit,since,,Seit gestern.,Since yesterday.
bis,until,,Bis später!,Until later!
während,during,,Während der Pause.,During the break.
wegen,because of,,Wegen dir.,Because of you.
trotz,despite,,Trotz Regen.,Despite rain.
durch,through,,Durch die Stadt.,Through the city.
um,around,,Um die Ecke.,Around the corner.
entlang,along,,Die Straße entlang.,Along the street.
gegenüber,opposite,,Gegenüber vom Bahnhof.,Opposite the station.
neben,next to,,Neben dem Park.,Next to the park.
hinter,behind,,Hinter dem Baum.,Behind the tree.
vor,in front of,,Vor der Tür.,In front of the door.
unter,under,,Unter dem Tisch.,Under the table.
auf,on,,Auf dem Dach.,On the roof.
in,in,,In der Küche.,In the kitchen.
aus,out of,,Aus dem Fenster.,Out of the window.
an,at/on,,An der Haltestelle.,At the stop.
zu,to,,Zum Arzt.,To the doctor.
ich,I,,Ich bin's.,It's me.
du,you,,Du zuerst.,You first.
er,he,,Er kommt.,He is coming.
sie,she,,Sie läuft.,She runs.
es,it,,Es regnet.,It rains.
wir,we,,Wir bleiben.,We stay.
ihr,you (pl.),,Ihr seid toll.,You are great.
sie,they,,Sie kommen.,They come.
mich,me,,Sieh mich an!,Look at me!
dich,you,,Ich liebe dich.,I love you.
ihn,him,,Ich sehe ihn.,I see him.
sie,her,,Ich liebe sie.,I love her.
uns,us,,Hilf uns!,Help us!
euch,you (pl.),,Ich rufe euch.,"How to say ""I call you all""?"
ihnen,them,,Gib ihnen das.,Give them that.
mein,my,,Mein Name.,My name.
dein,your,,Dein Hund.,Your dog.
sein,his/its,,Sein Freund.,His friend.
ihr,her/their,,Ihr Buch.,Her book.
unser,our,,Unser Haus.,Our house.
euer,your (pl.),,Euer Auto.,Your car.
ihr,their,,Ihr Problem.,Their problem.
dieser,this (m),,Dieser Tag.,This day.
diese,this (f),,Diese Frau.,This woman.
dieses,this (n),,Dieses Kind.,This child.
dies,these,,Diese Leute.,These people.
jener,that (m),,Jener Mann.,That man.
jene,that (f),,Jene Stadt.,That city.
jenes,that (n),,Jenes Buch.,That book.
jene,those,,Jene Zeiten.,Those times.
welcher,which (m),,Welcher Weg?,Which way?
welche,which (f),,Welche Farbe?,Which color?
welches,which (n),,Welches Haus?,Which house?
welche,which (pl.),,Welche Bücher?,Which books?
mein,my,,Mein Freund.,My friend.
dein,your,,Deine Schwester.,Your sister.
sein,his,,Sein Bruder.,His brother.
ihr,her,,Ihre Mutter.,Her mother.
unser,our,,Unsere Kinder.,Our children.
euer,your (pl.),,Eure Eltern.,Your parents.
ihr,their,,Ihre Freunde.,Their friends.
kein,no (m),,Kein Geld.,No money.
